ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון,category
125820.0,משק יעקבס,משק יעקבס,"1258200 גבינת שמנת 2ק""ג",ברקודים חדשים,מסמן על אריזות,Dairy
130248.0,מצות אביב,500 גרם,קמח מצה חמץ,ברקודים חדשים,מסמן בפועל,Groceries
130606.0,מצות אביב,200 גרם,קמח מצה חמץ,ברקודים חדשים,מסמן בפועל,Groceries
212173.0,מנעמים,מנעמים,ופל בטעם שוקולד 500 גר,ברקודים חדשים,,Groceries
212401.0,מנעמים,מנעמים,ופל מצופית שוקו 400 גר,ברקודים חדשים,מסמן על אריזות,Groceries
212579.0,מנעמים,מנעמים,ופל מצופה 20 גר*40 יח,ברקודים חדשים,,Groceries
214115.0,פרי גליל,ויטה-2,מרק עוף צנצ . 400ויטה,ברקודים חדשים,מסמן על רב המוצרים,Meat
214115.0,פרי גליל,ויטה-2,מרק עוף צנצ . 400כשלפ,ברקודים חדשים,מסמן על רב המוצרים,Meat
218502.0,פרי גליל,ויטה-2,חמין א -2ויטה בדצ,ברקודים חדשים,מסמן על רב המוצרים,Groceries
223216.0,פרי גליל,טל-14,חומץ 1ל טל,ברקודים חדשים,מסמן על רב המוצרים,Pantry
223216.0,פרי גליל,טל-14,חומץ 1ל טל כשלפ,ברקודים חדשים,מסמן על רב המוצרים,Pantry
223315.0,פרי גליל,טל-14,ר.לימון משומר 1ליטר טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
288048.0,סנו,סנו,סנו ז'אוול מרסס 1 ליטר,ברקודים חדשים,,Groceries
288079.0,סנו,סנו,סנו ז'אוול 2 ליטר,ברקודים חדשים,,Groceries
288492.0,סנו,סנו,"סנובון נוזלי 750 מ""ל",ברקודים חדשים,,Groceries
292687.0,סנו,סנו,סנובון כחול שלישייה,ברקודים חדשים,,Groceries
295367.0,סנו,סנו,"סנו מקסימה אבקת כביסה 2.5 ק""ג",ברקודים חדשים,,Groceries
303581.0,פרי גליל,פרי הגליל-1,פול מצרי א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
303598.0,פרי גליל,פרי הגליל-1,שע .ברוטב א -2אגודה,ברקודים חדשים,מסמן על רב המוצרים,Groceries
303598.0,פרי גליל,פרי הגליל-1,שע .ברוטב א -2רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
303604.0,פרי גליל,פרי הגליל-1,חומוס א -2אגודה פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
303604.0,פרי גליל,פרי הגליל-1,חומוס א -2רבנות פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307015.0,פרי גליל,פרי הגליל-1,אפונה א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307046.0,פרי גליל,פרי הגליל-1,אפונה וגזר א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Vegetables
307046.0,פרי גליל,פרי הגליל-1,אפונה וגזר א- 2פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Vegetables
307220.0,פרי גליל,פרי הגליל-1,תירס 12אונק פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307220.0,פרי גליל,פרי הגליל-1,תירס 12אונק פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307237.0,פרי גליל,פרי הגליל-1,תירס א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307237.0,פרי גליל,פרי הגליל-1,תירס א- 2פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307244.0,פרי גליל,פרי הגליל-1,רסק ת עץ טבעי א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Pantry
307251.0,פרי גליל,פרי הגליל-1,רסק ת עץ ממותק א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Pantry
307275.0,פרי גליל,פרי הגליל-1,שזיף בסירופ א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Fruits
307336.0,פרי גליל,פרי הגליל-1,שע צהובה א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307343.0,פרי גליל,פרי הגליל-1,שע ירוקה א -2פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307800.0,פרי גליל,פרי הגליל-1,פול 800פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307800.0,פרי גליל,פרי הגליל-1,פול 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307985.0,פרי גליל,פרי הגליל-1,תירס 12אונק ל מלח פג,ברקודים חדשים,מסמן על רב המוצרים,Groceries
307985.0,פרי גליל,פרי הגליל-1,תירס 12אונק ל מלח פג רבנות,ברקודים חדשים,מסמן על רב המוצרים,Groceries
355009.0,פרי גליל,טל-14,רס.עגב. 100ג BX22טל (פח),ברקודים חדשים,מסמן על רב המוצרים,Groceries
355382.0,פרי גליל,טל-14,עגב.מרוסקות בזיל. א- 2.5טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
355399.0,פרי גליל,טל-14,ר.טומטו מקס א-2.5,ברקודים חדשים,מסמן על רב המוצרים,Groceries
355405.0,פרי גליל,טל-14,עגב.מרוסקות בצל א- 2.5טל,ברקודים חדשים,מסמן על רב המוצרים,Vegetables
355412.0,פרי גליל,טל-14,עגב.מרוסקות שום א- 2.5טל,ברקודים חדשים,מסמן על רב המוצרים,Groceries
355481.0,פרי גליל,טומטו-16,רוטב עגב. א- BX22 2טומטו (רבנות),ברקודים חדשים,מסמן על רב המוצרים,Groceries
